1	Arts & Science
2	College of Dentistry
3	Courant Institute of Mathematical Sciences
4	Gallatin School of Individualized Study
5	Grossman School of Medicine
6	NYU Long Island School of Medicine
7	The Institute of Fine Arts
8	Institute for the Study of the Ancient World
9	Leonard N. Stern School of Business
10	Robert F. Wagner Graduate School of Public Service
11	Rory Meyers College of Nursing
12	School of Global Public Health
13	School of Professional Studies
14	School of Law
15	Silver School of Social Work
16	Steinhardt School of Culture, Education, and Human Development
17	Tandon School of Engineering
18	Tisch School of the Arts
19	NYU Abu Dhabi
20	NYU Shanghai
21	NYU IT
22	Center for Data Science
