storage_filesystem_path, first_date, days, first_date_usage, last_date_usage, difference, maximum, minimum, average, standard_deviation, variance
/storage2/fs1/amlai, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/wucci, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/cmasteller, 2025-04-01, 30, 3.43, 3.43, 0.0, 3.43, 3.43, 3.43, 0.0, 0.0
/storage2/fs1/meers, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/shawp, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/sinclair.deborah, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/cao.yang, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/elyn, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/xmartin, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/chsieh, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/rouse, 2025-04-01, 30, 0.17, 0.15, -0.02, 0.17, 0.15, 0.15, 0.0, 0.0
/storage2/fs1/yixin.chen, 2025-04-01, 30, 2.64, 2.66, 0.02, 2.66, 2.64, 2.66, 0.0, 0.0
/storage2/fs1/ger, 2025-04-01, 30, 0.02, 0.02, 0.0, 0.02, 0.02, 0.02, 0.0, 0.0
/storage2/fs1/maihe, 2025-04-01, 30, 0.88, 0.88, 0.0, 0.88, 0.88, 0.88, 0.0, 0.0
/storage2/fs1/mmahjoub, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/likai.chen, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/slenze, 2025-04-01, 30, 1.05, 1.05, 0.0, 1.05, 1.05, 1.05, 0.0, 0.0
/storage2/fs1/jmding, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/lima, 2025-04-01, 30, 0.99, 0.99, 0.0, 0.99, 0.99, 0.99, 0.0, 0.0
/storage2/fs1/debabratapatra, 2025-04-01, 30, 1.2, 1.2, 0.0, 1.2, 1.2, 1.2, 0.0, 0.0
/storage2/fs1/molly.schroeder, 2025-04-01, 30, 4.02, 4.02, 0.0, 4.02, 4.02, 4.02, 0.0, 0.0
/storage2/fs1/shao.j, 2025-04-01, 30, 0.24, 0.24, 0.0, 0.24, 0.24, 0.24, 0.0, 0.0
/storage2/fs1/cifarelli, 2025-04-01, 30, 1.07, 1.07, 0.0, 1.07, 1.07, 1.07, 0.0, 0.0
/storage2/fs1/sleong_summer, 2025-04-01, 30, 0.72, 0.72, 0.0, 0.72, 0.72, 0.72, 0.0, 0.0
/storage2/fs1/englands, 2025-04-01, 30, 0.01, 0.01, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0
/storage2/fs1/w.qian, 2025-04-01, 30, 0.18, 0.22, 0.04, 0.22, 0.18, 0.21, 0.01, 0.0
/storage2/fs1/rfugina, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/daryls3, 2025-04-01, 30, 0.03, 0.03, 0.0, 0.03, 0.03, 0.03, 0.0, 0.0
/storage2/fs1/kdandurand, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/abrummett, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/vtieppofrancio, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/kirilloff, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/shaffique, 2025-04-01, 30, 0.68, 0.75, 0.07, 0.75, 0.68, 0.7, 0.02, 0.0
/storage2/fs1/kongf, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/yany, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/dricardo, 2025-04-01, 30, 1.44, 1.5, 0.06, 1.5, 1.44, 1.45, 0.02, 0.0
/storage2/fs1/tunayilker, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/RADONC-ViewRay, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/firsztj, 2025-04-01, 30, 1.38, 1.43, 0.05, 1.43, 1.38, 1.4, 0.02, 0.0
/storage2/fs1/zhour, 2025-04-01, 30, 1.29, 4.23, 2.94, 4.23, 1.07, 3.07, 1.11, 1.22
/storage2/fs1/satochihiro, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/hartman_m, 2025-04-01, 30, 0.0, 0.1, 0.1, 0.1, 0.0, 0.04, 0.03, 0.0
/storage2/fs1/leejm, 2025-04-01, 30, 1.55, 1.55, 0.0, 1.55, 1.55, 1.55, 0.0, 0.0
/storage2/fs1/guozhen, 2025-04-01, 30, 0.1, 0.1, 0.0, 0.1, 0.1, 0.1, 0.0, 0.0
/storage2/fs1/f.alex, 2025-04-01, 30, 0.65, 0.65, 0.0, 0.65, 0.65, 0.65, 0.0, 0.0
/storage2/fs1/mingzhou.zhou, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/cfritz, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/RIS-Services, 2025-04-01, 30, 0.95, 0.96, 0.01, 0.96, 0.93, 0.95, 0.01, 0.0
/storage2/fs1/alirezag, 2025-04-01, 30, 4.21, 4.28, 0.07, 4.28, 4.21, 4.21, 0.01, 0.0
/storage2/fs1/matthew.brier, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/hui, 2025-04-01, 30, 3.94, 3.94, 0.0, 3.94, 3.94, 3.94, 0.0, 0.0
/storage2/fs1/oren, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/hema.adhikari, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/djoshu, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/syidan, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/sdahiya, 2025-04-01, 30, 0.15, 0.15, 0.0, 0.15, 0.15, 0.15, 0.0, 0.0
/storage2/fs1/ariela, 2025-04-01, 30, 0.12, 0.12, 0.0, 0.12, 0.12, 0.12, 0.0, 0.0
/storage2/fs1/rtriplett, 2025-04-01, 30, 0.12, 0.13, 0.01, 0.13, 0.12, 0.12, 0.0, 0.0
/storage2/fs1/cfeliciano, 2025-04-01, 30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
