storage_filesystem_path, first_date, days, first_date_usage, last_date_usage, difference, maximum, minimum, average, standard_deviation, variance
/storage2/fs1/amlai, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/wucci, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/cmasteller, 2025-05-01, 29, 3.43, 3.43, 0.0, 3.43, 3.43, 3.43, 0.0, 0.0
/storage2/fs1/meers, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/shawp, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/sinclair.deborah, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/cao.yang, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/elyn, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/xmartin, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/chsieh, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/rouse, 2025-05-01, 29, 0.15, 0.16, 0.01, 0.17, 0.15, 0.16, 0.01, 0.0
/storage2/fs1/yixin.chen, 2025-05-01, 29, 2.66, 2.71, 0.05, 2.71, 2.66, 2.68, 0.02, 0.0
/storage2/fs1/ger, 2025-05-01, 29, 0.02, 0.02, 0.0, 0.02, 0.02, 0.02, 0.0, 0.0
/storage2/fs1/maihe, 2025-05-01, 29, 0.88, 0.88, 0.0, 0.88, 0.88, 0.88, 0.0, 0.0
/storage2/fs1/mmahjoub, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/likai.chen, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/slenze, 2025-05-01, 29, 1.05, 1.05, 0.0, 1.05, 1.05, 1.05, 0.0, 0.0
/storage2/fs1/jmding, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/lima, 2025-05-01, 29, 0.99, 0.99, 0.0, 0.99, 0.99, 0.99, 0.0, 0.0
/storage2/fs1/debabratapatra, 2025-05-01, 29, 1.2, 1.2, 0.0, 1.2, 1.2, 1.2, 0.0, 0.0
/storage2/fs1/molly.schroeder, 2025-05-01, 29, 4.02, 4.02, 0.0, 4.02, 4.02, 4.02, 0.0, 0.0
/storage2/fs1/shao.j, 2025-05-01, 29, 0.24, 0.24, 0.0, 0.24, 0.24, 0.24, 0.0, 0.0
/storage2/fs1/cifarelli, 2025-05-01, 29, 1.07, 1.07, 0.0, 1.07, 1.07, 1.07, 0.0, 0.0
/storage2/fs1/sleong_summer, 2025-05-01, 29, 0.72, 0.72, 0.0, 0.72, 0.72, 0.72, 0.0, 0.0
/storage2/fs1/englands, 2025-05-01, 29, 0.01, 0.01, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0
/storage2/fs1/w.qian, 2025-05-01, 29, 0.22, 0.23, 0.01, 0.23, 0.22, 0.22, 0.0, 0.0
/storage2/fs1/rfugina, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/daryls3, 2025-05-01, 29, 0.03, 0.03, 0.0, 0.03, 0.03, 0.03, 0.0, 0.0
/storage2/fs1/kdandurand, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/abrummett, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/vtieppofrancio, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/kirilloff, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/shaffique, 2025-05-01, 29, 0.75, 0.89, 0.14, 0.89, 0.75, 0.82, 0.06, 0.0
/storage2/fs1/kongf, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/yany, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/dricardo, 2025-05-01, 29, 1.5, 2.64, 1.14, 2.64, 1.5, 2.32, 0.51, 0.26
/storage2/fs1/tunayilker, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/RADONC-ViewRay, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/firsztj, 2025-05-01, 29, 1.43, 1.47, 0.04, 1.47, 1.43, 1.45, 0.01, 0.0
/storage2/fs1/zhour, 2025-05-01, 29, 4.23, 4.25, 0.02, 4.25, 4.23, 4.24, 0.01, 0.0
/storage2/fs1/satochihiro, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/hartman_m, 2025-05-01, 29, 0.1, 0.11, 0.01, 0.11, 0.1, 0.11, 0.01, 0.0
/storage2/fs1/leejm, 2025-05-01, 29, 1.55, 1.96, 0.41, 1.96, 1.55, 1.75, 0.2, 0.04
/storage2/fs1/guozhen, 2025-05-01, 29, 0.1, 0.15, 0.05, 0.15, 0.1, 0.13, 0.02, 0.0
/storage2/fs1/f.alex, 2025-05-01, 29, 0.65, 0.65, 0.0, 0.65, 0.65, 0.65, 0.0, 0.0
/storage2/fs1/mingzhou.zhou, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/cfritz, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/RIS-Services, 2025-05-01, 29, 0.96, 0.96, 0.0, 0.98, 0.95, 0.96, 0.01, 0.0
/storage2/fs1/alirezag, 2025-05-01, 29, 4.28, 4.35, 0.07, 4.35, 4.28, 4.34, 0.02, 0.0
/storage2/fs1/matthew.brier, 2025-05-01, 29, 0.0, 0.1, 0.1, 0.1, 0.0, 0.01, 0.03, 0.0
/storage2/fs1/hui, 2025-05-01, 29, 3.94, 3.94, 0.0, 3.94, 3.94, 3.94, 0.0, 0.0
/storage2/fs1/oren, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/hema.adhikari, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/djoshu, 2025-05-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/syidan, 2025-05-01, 29, 0.0, 0.18, 0.18, 0.3, 0.0, 0.06, 0.08, 0.01
